"","Abrams","Barron","Bartok","Basie","Benny","Booker","Brownface","Buckner","Carter","Cash","Dexter","Dizzy","Django","Erroll","Evans","Garett","Garrison","Haden","Hare","Hawkins","Hicks","Hutcherson","Jackson","Lovano","Miles","Mitchell","Monk","Morton","Mulligan","Mweya","Ornette","Peterson","Porkpie","Rahsaan","Richmond","Rollins","Southpaw","Wayne","Wes","Wilson"
"Abrams",0,0,0.00429184549356223,0.0196850393700787,0,0.0078125,0.0294117647058824,0,0.0323886639676113,0,0.0214592274678112,0,0.00977198697068404,0.00404858299595142,0.0151057401812689,0.0108695652173913,0,0,0.0091324200913242,0,0.00326797385620915,0,0.0283400809716599,0.0230263157894737,0.00429184549356223,0,0.0257510729613734,0.0689655172413793,0,0.0136986301369863,0.0128755364806867,0.0123076923076923,0,0.0214592274678112,0,0,0,0.0124223602484472,0.00288184438040346,0.0121212121212121
"Barron",0,0,0,0.018957345971564,0,0,0.0078740157480315,0,0.00490196078431373,0,0,0.00568181818181818,0.0151515151515152,0,0,0,0,0,0,0,0.00380228136882129,0,0.0294117647058824,0.00766283524904215,0,0,0.0105263157894737,0.00458715596330275,0,0,0,0.0106382978723404,0,0,0,0,0,0,0,0.00348432055749129
"Bartok",0.00429184549356223,0,0,0.0295566502463054,0.00469483568075117,0.00975609756097561,0,0,0.0255102040816327,0,0.0384615384615385,0.00595238095238095,0.0390625,0.0102040816326531,0,0,0,0.00427350427350427,0.0535714285714286,0,0.0274509803921569,0,0.0255102040816327,0.00790513833992095,0.0384615384615385,0,0.021978021978022,0.119047619047619,0,0.0654761904761905,0.0549450549450549,0.0145985401459854,0.0200803212851406,0.00549450549450549,0,0,0,0,0,0.025089605734767
"Basie",0.0196850393700787,0.018957345971564,0.0295566502463054,0,0.00854700854700855,0.00884955752212389,0,0,0.0414746543778802,0,0.00492610837438424,0.0264550264550265,0.0180505415162455,0,0.00664451827242525,0,0,0,0.0423280423280423,0,0.0181159420289855,0,0.105990783410138,0.0145985401459854,0.00492610837438424,0,0.00492610837438424,0.125541125541126,0,0.0158730158730159,0.0394088669950739,0.0305084745762712,0.0222222222222222,0.0394088669950739,0,0,0,0,0.00315457413249211,0.0333333333333333
"Benny",0,0,0.00469483568075117,0.00854700854700855,0,0,0.02,0.0253623188405797,0,0,0.00469483568075117,0,0,0,0,0,0.0234741784037559,0,0,0,0,0.0145631067961165,0.00440528634361234,0,0.00469483568075117,0,0,0,0,0,0,0.00327868852459016,0,0,0.0208333333333333,0,0,0.0496688741721854,0.0336391437308868,0
"Booker",0.0078125,0,0.00975609756097561,0.00884955752212389,0,0,0,0,0,0,0.00975609756097561,0.0104712041884817,0.032258064516129,0.0091324200913242,0.0627062706270627,0.00641025641025641,0,0,0.00523560209424084,0,0.0107913669064748,0,0.0045662100456621,0.0072463768115942,0.0292682926829268,0,0.0048780487804878,0,0,0,0.0048780487804878,0,0.0183823529411765,0.0048780487804878,0,0,0,0,0,0.00662251655629139
"Brownface",0.0294117647058824,0.0078740157480315,0,0,0.02,0,0,0.043956043956044,0,0,0,0,0,0,0.00460829493087558,0,0.100840336134454,0,0,0,0.00520833333333333,0.0535714285714286,0,0.00526315789473684,0,0,0,0,0,0,0,0,0,0,0.173469387755102,0.00840336134453781,0,0.0288461538461538,0.0386266094420601,0
"Buckner",0,0,0,0,0.0253623188405797,0,0.043956043956044,0,0.00386100386100386,0,0.0122448979591837,0,0,0,0,0,0.0285714285714286,0,0,0,0,0.00420168067226891,0,0,0,0,0,0,0,0,0,0.00593471810089021,0,0.00408163265306122,0.0446428571428571,0.0163265306122449,0,0.0119760479041916,0.00557103064066852,0
"Carter",0.0323886639676113,0.00490196078431373,0.0255102040816327,0.0414746543778802,0,0,0,0.00386100386100386,0,0,0.0357142857142857,0.010989010989011,0,0.00476190476190476,0.0170068027210884,0,0,0.00403225806451613,0.00549450549450549,0,0,0,0.0476190476190476,0.00374531835205993,0.00510204081632653,0.0128205128205128,0.0255102040816327,0.0267857142857143,0,0,0.0918367346938776,0.0347222222222222,0,0.0459183673469388,0,0,0,0.00701754385964912,0.0032258064516129,0.0341296928327645
"Cash",0,0,0,0,0,0,0,0,0,0,0.0934065934065934,0,0,0,0,0,0,0.0128205128205128,0,0.0632411067193676,0.00784313725490196,0,0,0,0,0.0363636363636364,0.00549450549450549,0,0.0869565217391304,0,0,0,0,0,0,0,0.051948051948052,0,0,0.003584229390681
"Dexter",0.0214592274678112,0,0.0384615384615385,0.00492610837438424,0.00469483568075117,0.00975609756097561,0,0.0122448979591837,0.0357142857142857,0.0934065934065934,0,0.0535714285714286,0,0.00510204081632653,0.00714285714285714,0.0075187969924812,0,0.00427350427350427,0.00595238095238095,0.0395256916996047,0.0156862745098039,0,0.0306122448979592,0.00395256916996047,0,0.05,0.021978021978022,0.00952380952380952,0.0869565217391304,0.0119047619047619,0.021978021978022,0.0072992700729927,0.00803212851405622,0.021978021978022,0,0,0.201298701298701,0,0.00337837837837838,0.003584229390681
"Dizzy",0,0.00568181818181818,0.00595238095238095,0.0264550264550265,0,0.0104712041884817,0,0,0.010989010989011,0,0.0535714285714286,0,0.012396694214876,0.0494505494505494,0,0,0,0.0181818181818182,0,0,0.00829875518672199,0,0.00549450549450549,0.00418410041841004,0.00595238095238095,0.00970873786407767,0,0.0153061224489796,0.00680272108843537,0,0.0297619047619048,0.0192307692307692,0,0.00595238095238095,0,0,0,0,0,0.00754716981132075
"Django",0.00977198697068404,0.0151515151515152,0.0390625,0.0180505415162455,0,0.032258064516129,0,0,0,0,0,0.012396694214876,0,0,0.0141242937853107,0.00483091787439614,0,0.00324675324675325,0.0206611570247934,0,0.0243161094224924,0,0.0037037037037037,0.00305810397553517,0.00390625,0,0.00390625,0.0211267605633803,0,0.0165289256198347,0.0234375,0.014367816091954,0.0123839009287926,0,0,0,0,0.00289855072463768,0,0.0169971671388102
"Erroll",0.00404858299595142,0,0.0102040816326531,0,0,0.0091324200913242,0,0,0.00476190476190476,0,0.00510204081632653,0.0494505494505494,0,0,0,0,0,0.0241935483870968,0.021978021978022,0,0.0223048327137546,0,0,0.00374531835205993,0.0204081632653061,0,0.0153061224489796,0,0,0.021978021978022,0.0204081632653061,0,0,0,0,0,0,0,0,0.0102389078498294
"Evans",0.0151057401812689,0,0,0.00664451827242525,0,0.0627062706270627,0.00460829493087558,0,0.0170068027210884,0,0.00714285714285714,0,0.0141242937853107,0,0,0.012987012987013,0,0.0180722891566265,0,0,0.0028328611898017,0,0.00680272108843537,0.0113960113960114,0,0.00628930817610063,0.0178571428571429,0.00649350649350649,0,0,0,0.0483870967741935,0.0403458213256484,0,0,0,0,0,0,0.0159151193633952
"Garett",0.0108695652173913,0,0,0,0,0.00641025641025641,0,0,0,0,0.0075187969924812,0,0.00483091787439614,0,0.012987012987013,0,0,0.027027027027027,0,0,0,0,0.00680272108843537,0,0.0150375939849624,0,0,0.0434782608695652,0,0.0252100840336134,0,0.0266666666666667,0,0,0,0,0,0.0045045045045045,0,0
"Garrison",0,0,0,0,0.0234741784037559,0,0.100840336134454,0.0285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.130434782608696,0.043956043956044,0,0.0701107011070111,0.0641891891891892,0
"Haden",0,0,0.00427350427350427,0,0,0,0,0,0.00403225806451613,0.0128205128205128,0.00427350427350427,0.0181818181818182,0.00324675324675325,0.0241935483870968,0.0180722891566265,0.027027027027027,0,0,0.00454545454545455,0,0,0,0,0.00327868852459016,0.00427350427350427,0.00367647058823529,0,0.00381679389312977,0,0.00909090909090909,0.00427350427350427,0.0153374233128834,0.00332225913621262,0,0,0,0,0,0,0.00604229607250755
"Hare",0.0091324200913242,0,0.0535714285714286,0.0423280423280423,0,0.00523560209424084,0,0,0.00549450549450549,0,0.00595238095238095,0,0.0206611570247934,0.021978021978022,0,0,0,0.00454545454545455,0,0,0.00829875518672199,0,0.032967032967033,0,0.125,0,0.0238095238095238,0.102040816326531,0,0.012987012987013,0.0952380952380952,0.0192307692307692,0.0170212765957447,0.00595238095238095,0,0,0,0,0,0.00754716981132075
"Hawkins",0,0,0,0,0,0,0,0,0,0.0632411067193676,0.0395256916996047,0,0,0,0,0,0,0,0,0,0.00306748466257669,0,0,0,0,0.0515463917525773,0.00395256916996047,0.00355871886120996,0.0258620689655172,0,0,0,0,0,0,0,0.0755555555555556,0,0,0
"Hicks",0.00326797385620915,0.00380228136882129,0.0274509803921569,0.0181159420289855,0,0.0107913669064748,0.00520833333333333,0,0,0.00784313725490196,0.0156862745098039,0.00829875518672199,0.0243161094224924,0.0223048327137546,0.0028328611898017,0,0,0,0.00829875518672199,0.00306748466257669,0,0,0.00371747211895911,0.00613496932515337,0.0156862745098039,0.0068259385665529,0.0313725490196078,0.0247349823321555,0.00427350427350427,0.04149377593361,0.0313725490196078,0.0288184438040346,0.0031055900621118,0,0,0,0.0308370044052863,0,0,0.0340909090909091
"Hutcherson",0,0,0,0,0.0145631067961165,0,0.0535714285714286,0.00420168067226891,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00374531835205993,0,0,0.0454545454545455,0.0285714285714286,0,0.0454545454545455,0.0519031141868512,0
"Jackson",0.0283400809716599,0.0294117647058824,0.0255102040816327,0.105990783410138,0.00440528634361234,0.0045662100456621,0,0,0.0476190476190476,0,0.0306122448979592,0.00549450549450549,0.0037037037037037,0,0.00680272108843537,0.00680272108843537,0,0,0.032967032967033,0,0.00371747211895911,0,0,0.0149812734082397,0.0816326530612245,0,0.0816326530612245,0.102678571428571,0,0.0164835164835165,0.0510204081632653,0.0173611111111111,0,0.0204081632653061,0,0,0,0.0175438596491228,0.00645161290322581,0.0238907849829352
"Lovano",0.0230263157894737,0.00766283524904215,0.00790513833992095,0.0145985401459854,0,0.0072463768115942,0.00526315789473684,0,0.00374531835205993,0,0.00395256916996047,0.00418410041841004,0.00305810397553517,0.00374531835205993,0.0113960113960114,0,0,0.00327868852459016,0,0,0.00613496932515337,0,0.0149812734082397,0,0,0,0.00790513833992095,0.00355871886120996,0,0,0,0.00869565217391304,0.009375,0,0,0,0,0,0,0
"Miles",0.00429184549356223,0,0.0384615384615385,0.00492610837438424,0.00469483568075117,0.0292682926829268,0,0,0.00510204081632653,0,0,0.00595238095238095,0.00390625,0.0204081632653061,0,0.0150375939849624,0,0.00427350427350427,0.125,0,0.0156862745098039,0,0.0816326530612245,0,0,0,0,0.0238095238095238,0,0.0297619047619048,0.00549450549450549,0.0109489051094891,0.00401606425702811,0,0,0,0,0.003690036900369,0,0.00716845878136201
"Mitchell",0,0,0,0,0,0,0,0,0.0128205128205128,0.0363636363636364,0.05,0.00970873786407767,0,0,0.00628930817610063,0,0,0.00367647058823529,0,0.0515463917525773,0.0068259385665529,0,0,0,0,0,0.00454545454545455,0,0.105527638190955,0,0,0,0,0,0,0,0.0416666666666667,0,0,0
"Monk",0.0257510729613734,0.0105263157894737,0.021978021978022,0.00492610837438424,0,0.0048780487804878,0,0,0.0255102040816327,0.00549450549450549,0.021978021978022,0,0.00390625,0.0153061224489796,0.0178571428571429,0,0,0,0.0238095238095238,0.00395256916996047,0.0313725490196078,0,0.0816326530612245,0.00790513833992095,0,0.00454545454545455,0,0.0476190476190476,0,0.00595238095238095,0.032967032967033,0.0510948905109489,0.00401606425702811,0.0274725274725275,0,0,0,0,0.0101351351351351,0.039426523297491
"Morton",0.0689655172413793,0.00458715596330275,0.119047619047619,0.125541125541126,0,0,0,0,0.0267857142857143,0,0.00952380952380952,0.0153061224489796,0.0211267605633803,0,0.00649350649350649,0.0434782608695652,0,0.00381679389312977,0.102040816326531,0.00355871886120996,0.0247349823321555,0,0.102678571428571,0.00355871886120996,0.0238095238095238,0,0.0476190476190476,0,0.00529100529100529,0.0153061224489796,0.0333333333333333,0.00662251655629139,0,0,0,0,0,0.00334448160535117,0.00308641975308642,0.0228013029315961
"Mulligan",0,0,0,0,0,0,0,0,0,0.0869565217391304,0.0869565217391304,0.00680272108843537,0,0,0,0,0,0,0,0.0258620689655172,0.00427350427350427,0,0,0,0,0.105527638190955,0,0.00529100529100529,0,0,0,0.0158102766798419,0,0,0,0,0.0526315789473684,0,0,0
"Mweya",0.0136986301369863,0,0.0654761904761905,0.0158730158730159,0,0,0,0,0,0,0.0119047619047619,0,0.0165289256198347,0.021978021978022,0,0.0252100840336134,0,0.00909090909090909,0.012987012987013,0,0.04149377593361,0,0.0164835164835165,0,0.0297619047619048,0,0.00595238095238095,0.0153061224489796,0,0,0.0297619047619048,0.00769230769230769,0.051063829787234,0,0,0,0,0,0,0
"Ornette",0.0128755364806867,0,0.0549450549450549,0.0394088669950739,0,0.0048780487804878,0,0,0.0918367346938776,0,0.021978021978022,0.0297619047619048,0.0234375,0.0204081632653061,0,0,0,0.00427350427350427,0.0952380952380952,0,0.0313725490196078,0,0.0510204081632653,0,0.00549450549450549,0,0.032967032967033,0.0333333333333333,0,0.0297619047619048,0,0.0182481751824818,0,0.021978021978022,0,0,0,0.018450184501845,0,0.025089605734767
"Peterson",0.0123076923076923,0.0106382978723404,0.0145985401459854,0.0305084745762712,0.00327868852459016,0,0,0.00593471810089021,0.0347222222222222,0,0.0072992700729927,0.0192307692307692,0.014367816091954,0,0.0483870967741935,0.0266666666666667,0,0.0153374233128834,0.0192307692307692,0,0.0288184438040346,0.00374531835205993,0.0173611111111111,0.00869565217391304,0.0109489051094891,0,0.0510948905109489,0.00662251655629139,0.0158102766798419,0.00769230769230769,0.0182481751824818,0,0.00879765395894428,0.00364963503649635,0,0.00364963503649635,0,0.00550964187327824,0.00257731958762887,0.0161725067385445
"Porkpie",0,0,0.0200803212851406,0.0222222222222222,0,0.0183823529411765,0,0,0,0,0.00803212851405622,0,0.0123839009287926,0,0.0403458213256484,0,0,0.00332225913621262,0.0170212765957447,0,0.0031055900621118,0,0,0.009375,0.00401606425702811,0,0.00401606425702811,0,0,0.051063829787234,0,0.00879765395894428,0,0.00401606425702811,0,0,0,0.00591715976331361,0,0.00578034682080925
"Rahsaan",0.0214592274678112,0,0.00549450549450549,0.0394088669950739,0,0.0048780487804878,0,0.00408163265306122,0.0459183673469388,0,0.021978021978022,0.00595238095238095,0,0,0,0,0,0,0.00595238095238095,0,0,0,0.0204081632653061,0,0,0,0.0274725274725275,0,0,0,0.021978021978022,0.00364963503649635,0.00401606425702811,0,0,0,0,0.003690036900369,0.00337837837837838,0.003584229390681
"Richmond",0,0,0,0,0.0208333333333333,0,0.173469387755102,0.0446428571428571,0,0,0,0,0,0,0,0,0.130434782608696,0,0,0,0,0.0454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0372670807453416,0,0.028,0.0290909090909091,0
"Rollins",0,0,0,0,0,0,0.00840336134453781,0.0163265306122449,0,0,0,0,0,0,0,0,0.043956043956044,0,0,0,0,0.0285714285714286,0,0,0,0,0,0,0,0,0,0.00364963503649635,0,0,0.0372670807453416,0,0,0.03690036900369,0.0135135135135135,0
"Southpaw",0,0,0,0,0,0,0,0,0,0.051948051948052,0.201298701298701,0,0,0,0,0,0,0,0,0.0755555555555556,0.0308370044052863,0,0,0,0,0.0416666666666667,0,0,0.0526315789473684,0,0,0,0,0,0,0,0,0,0,0
"Wayne",0.0124223602484472,0,0,0,0.0496688741721854,0,0.0288461538461538,0.0119760479041916,0.00701754385964912,0,0,0,0.00289855072463768,0,0,0.0045045045045045,0.0701107011070111,0,0,0,0,0.0454545454545455,0.0175438596491228,0,0.003690036900369,0,0,0.00334448160535117,0,0,0.018450184501845,0.00550964187327824,0.00591715976331361,0.003690036900369,0.028,0.03690036900369,0,0,0.051948051948052,0
"Wes",0.00288184438040346,0,0,0.00315457413249211,0.0336391437308868,0,0.0386266094420601,0.00557103064066852,0.0032258064516129,0,0.00337837837837838,0,0,0,0,0,0.0641891891891892,0,0,0,0,0.0519031141868512,0.00645161290322581,0,0,0,0.0101351351351351,0.00308641975308642,0,0,0,0.00257731958762887,0,0.00337837837837838,0.0290909090909091,0.0135135135135135,0,0.051948051948052,0,0
"Wilson",0.0121212121212121,0.00348432055749129,0.025089605734767,0.0333333333333333,0,0.00662251655629139,0,0,0.0341296928327645,0.003584229390681,0.003584229390681,0.00754716981132075,0.0169971671388102,0.0102389078498294,0.0159151193633952,0,0,0.00604229607250755,0.00754716981132075,0,0.0340909090909091,0,0.0238907849829352,0,0.00716845878136201,0,0.039426523297491,0.0228013029315961,0,0,0.025089605734767,0.0161725067385445,0.00578034682080925,0.003584229390681,0,0,0,0,0,0
